CurrentTime(ms)
1401179243842
AccTime(ms), AccX, AccY, AccZ, GravityTime(ms), GravityX, GravityY, GravityZ
804.565431, 0.1648072749376297, 0.09235794097185135, 0.5450166463851929, 0.0, 1.2901670932769775, 6.175408363342285, 7.5121283531188965
804.595949, 0.1249900832772255, 0.15657439827919006, 0.32227981090545654, 804.565431, 1.2757970094680786, 6.361920356750488, 7.357500076293945
804.626466, 0.062120817601680756, 0.21615050733089447, 0.3930825889110565, 804.595949, 1.2647199630737305, 6.37105131149292, 7.351512432098389
804.626466, 0.02200424112379551, 0.33215928077697754, 0.41598495841026306, 804.626466, 1.2582833766937256, 6.368356704711914, 7.354955196380615
804.656984, 0.1898052990436554, 0.2984793186187744, 0.3999682664871216, 804.656984, 1.2645703554153442, 6.355782985687256, 7.36468505859375
804.687501, 0.38110747933387756, 0.09280700981616974, 0.5176236033439636, 804.687501, 1.272952914237976, 6.337071895599365, 7.379354476928711
804.718019, 0.5013075470924377, -1.496887271059677E-4, 0.7466473579406738, 804.687501, 1.2795392274856567, 6.314319133758545, 7.397616386413574
804.748536, 0.5864803791046143, -0.08921447396278381, 1.0174342393875122, 804.718019, 1.2838801145553589, 6.289770126342773, 7.417824745178223
804.748536, 0.5516029596328735, -0.007035369984805584, 1.311273217201233, 804.748536, 1.2862751483917236, 6.26522159576416, 7.438182353973389
804.779054, 0.45610153675079346, 0.1145118698477745, 1.658401370048523, 804.779054, 1.2859758138656616, 6.242319107055664, 7.457491874694824
805.236818, 0.35087037086486816, 0.16346007585525513, 1.927841067314148, 805.145265, 1.2855267524719238, 6.221512317657471, 7.474855899810791
805.267335, 0.33200958371162415, 0.289497971534729, 2.215542793273926, 805.236818, 1.2858260869979858, 6.203250408172607, 7.489974498748779
805.267335, 0.42736130952835083, 0.3689827024936676, 2.4385788440704346, 805.267335, 1.2865746021270752, 6.188730239868164, 7.501949787139893
