time(ms), id1, x1(mm), y1, z1, id2, x2, y2, z2, id3, x3, y3, z3
28829350.11,0,-8.01361,225.773,15.7611,1,34.3251,199.069,34.5569,2,-41.1327,190.285,35.3739
28829362.214,0,-7.40492,225.425,14.0936,1,34.8987,198.396,32.8571,2,-40.5605,189.79,33.7968
28829374.203,0,-6.90885,225.235,12.432,1,35.4263,197.928,31.1672,2,-40.1265,189.569,32.3409
28829410.167,0,-6.04446,224.606,7.63248,1,36.2846,197.285,26.7613,2,-39.3523,188.979,27.8993
28829422.158,0,-5.70717,224.53,5.7678,1,36.6489,197.166,25.4869,2,-39.1422,188.99,26.6564
28829458.187,0,-4.73931,224.691,2.06696,1,37.4928,196.849,22.3061,2,-38.3168,189.479,23.4412
28829470.239,0,-4.45568,224.743,1.39594,1,37.7924,196.587,21.389,2,-38.0981,189.886,22.7039
28829506.291,0,-3.84625,224.853,-2.3184,1,38.2654,196.68,19.0266,2,-37.805,190.444,20.1825
28829518.207,0,-3.77016,224.923,-3.21579,1,38.2909,196.887,18.623,2,-37.8698,190.617,19.6319
28829554.333,0,-3.52708,225.168,-4.72664,1,38.4467,196.849,17.1831,2,-37.7795,191.03,18.3346
28829566.264,0,-3.44211,225.259,-4.32219,1,38.5138,196.955,17.101,2,-37.6747,191.119,18.3209
28829602.27,0,-3.23135,225.582,-4.05284,1,38.7082,197.073,16.4309,2,-37.5666,191.626,17.7687
28829638.296,0,-3.06199,225.714,-4.35458,1,38.7671,196.843,15.6427,2,-37.5149,191.608,17.0164
28829650.301,0,-3.14843,225.324,-3.70316,1,38.6237,196.688,16.1374,2,-37.6855,191.229,17.2642
28829680.67,0,-3.26116,224.84,-3.16492,1,38.4479,196.134,16.5198,2,-37.852,190.994,17.6138
28829698.305,0,-3.33298,224.573,-3.494,1,38.328,195.679,16.5629,2,-38.0315,190.607,17.5748
28829738.069,0,-3.8231,223.595,-3.76507,1,37.7149,194.551,16.6505,2,-38.6795,189.929,17.7598
28829758.282,0,-4.29361,223.047,-4.26181,1,37.2604,193.964,16.4215,2,-39.1834,189.831,17.8731
28829794.372,0,-5.10396,221.714,-6.38054,1,36.2576,193.255,15.7362,2,-40.1399,189.355,17.2241
28829818.327,0,-6.09331,221.269,-6.10915,1,35.31,192.827,15.1907,2,-41.149,188.895,16.7528
28829842.228,0,-6.94343,220.621,-6.7783,1,34.646,192.402,14.3146,2,-41.9045,188.537,16.3103
28829854.315,0,-7.64055,219.985,-7.17022,1,34.0075,192.113,14.0577,2,-42.4667,188.073,16.0569
28829890.308,0,-9.18251,218.937,-8.54481,1,32.6035,191.373,12.9123,2,-43.8465,186.956,15.1278
28829914.241,0,-10.0607,218.166,-8.79299,1,31.8661,190.81,12.0988,2,-44.6753,186.481,14.6535
28829926.473,0,-10.5999,217.715,-9.32266,1,31.3317,190.478,11.7898,2,-45.1816,186.179,14.4635
28829950.367,0,-11.4027,217.174,-9.57347,1,30.6987,189.971,11.1047,2,-45.9348,185.562,13.9792
28829962.308,0,-11.8775,216.836,-9.49967,1,30.2354,189.898,10.9209,2,-46.3584,185.221,13.8521
28829986.398,0,-12.6259,216.282,-10.1622,1,29.5193,189.36,10.368,2,-47.0464,184.607,13.4673
28830022.398,0,-13.6439,215.634,-10.0699,1,28.527,188.44,9.83401,2,-48.0186,183.839,13.1318
28830034.384,0,-13.9238,215.327,-10.7334,1,28.2047,188.246,9.71069,2,-48.316,183.818,13.1047
28830059.485,0,-14.4931,214.848,-11.4102,1,27.5178,188.065,9.5635,2,-48.876,183.619,12.9424
28830082.39,0,-14.9468,214.564,-11.5222,1,27.1123,187.527,9.18193,2,-49.2816,183.34,12.7875
28830094.515,0,-15.1544,214.461,-11.279,1,26.914,187.406,9.13466,2,-49.4841,183.326,12.7969
28830118.385,0,-15.5753,214.37,-11.15,1,26.5097,186.987,8.81198,2,-49.9789,182.998,12.4635
28830154.35,0,-16.2109,213.935,-12.3852,1,25.8651,186.462,8.44359,2,-50.614,182.666,12.1122
28830166.864,0,-16.3671,213.877,-12.5108,1,25.7929,186.245,8.33184,2,-50.6909,182.629,12.152
28830190.384,0,-16.6628,213.853,-12.6672,1,25.4496,186.277,8.3386,2,-50.9893,182.565,11.9856
28830226.37,0,-17.2687,213.504,-13.2724,1,24.7765,186.127,8.21596,2,-51.4848,182.387,11.8687
28830238.372,0,-17.3988,213.603,-13.5666,1,24.5385,186.211,8.35307,2,-51.6197,182.456,11.9204
28830262.395,0,-17.7912,213.484,-13.535,1,24.258,186.328,8.14188,2,-52.0375,182.494,11.7934
28830274.388,0,-17.9594,213.618,-13.2735,1,24.1164,186.251,8.05967,2,-52.1791,182.503,11.7767
28830298.328,0,-18.2614,213.767,-13.0407,1,23.8569,186.332,7.87848,2,-52.4616,182.628,11.7117
28830322.571,0,-18.4515,214.03,-12.513,1,23.5523,186.683,7.96394,2,-52.6467,182.534,11.562
28830358.743,0,-18.9059,214.128,-12.2775,1,23.0804,186.585,7.73026,2,-53.0884,182.511,11.369
28830370.395,0,-19.0456,214.184,-12.2827,1,22.9417,186.649,7.73581,2,-53.2313,182.7,11.4085
28830382.581,0,-19.2015,214.268,-12.2447,1,22.7645,186.665,7.75813,2,-53.4278,182.721,11.3116
28830418.471,0,-19.6698,214.247,-12.5663,1,22.2341,186.81,7.73372,2,-53.8268,182.735,11.2957
28830430.554,0,-19.8233,214.126,-12.9074,1,22.1184,186.915,7.61263,2,-53.931,182.751,11.3359
28830470.055,0,-20.235,214.349,-12.6115,1,21.8005,186.674,7.45254,2,-54.4,182.771,11.2798
28830490.667,0,-20.455,214.209,-12.4407,1,21.6152,186.36,7.41434,2,-54.6259,182.776,11.3165
28830502.618,0,-20.5594,214.054,-13.0595,1,21.567,186.263,7.26862,2,-54.7438,182.743,11.285
28830538.612,0,-20.7551,213.817,-13.6801,1,21.3178,186.24,7.19758,2,-54.9633,182.655,11.2287
28830550.585,0,-20.7195,213.866,-13.2027,1,21.3284,186.285,7.3388,2,-54.8703,182.558,11.3057
28830574.574,0,-20.5773,213.829,-12.6483,1,21.3428,186.485,7.62185,2,-54.7237,182.42,11.3708
28830586.641,0,-20.5161,213.804,-12.4189,1,21.4756,186.284,7.51044,2,-54.6855,182.451,11.4232
28830622.563,0,-20.4698,213.888,-12.1754,1,21.4472,186.217,7.64547,2,-54.6978,182.51,11.4369
28830658.55,0,-20.3508,213.993,-12.1081,1,21.6201,186.163,7.59917,2,-54.5731,182.561,11.5069
28830670.548,0,-20.2165,214.034,-12.1382,1,21.7884,186.155,7.61032,2,-54.3931,182.538,11.5476
28830694.602,0,-20.0786,214.077,-12.4079,1,21.984,186.301,7.61473,2,-54.269,182.641,11.5426
28830718.529,0,-20.0181,214.011,-12.7951,1,22.0869,186.243,7.6464,2,-54.1754,182.571,11.4979
28830742.662,0,-19.8108,214.139,-12.5919,1,22.2411,186.409,7.84466,2,-53.9528,182.563,11.4783
28830766.645,0,-19.6117,214.038,-13.021,1,22.3974,186.839,7.92124,2,-53.8041,182.633,11.4021
28830778.628,0,-19.5313,214.271,-13.2443,1,22.4958,187.046,7.9397,2,-53.7171,182.754,11.4192
28830814.629,0,-19.2964,214.357,-13.7218,1,22.7686,187.251,7.94108,2,-53.5336,182.913,11.4113
28830826.639,0,-19.1337,214.639,-13.0761,1,22.8596,187.277,8.04925,2,-53.3574,183.097,11.5323
28830850.65,0,-18.8938,214.914,-12.5359,1,23.0756,187.271,8.04778,2,-53.1542,183.328,11.5827
28830862.63,0,-18.8201,215.141,-12.181,1,23.1138,187.451,8.10211,2,-53.0606,183.342,11.5473
28830898.572,0,-18.689,215.413,-11.9173,1,23.275,187.4,7.98035,2,-52.8736,183.553,11.6638
28830910.658,0,-18.6279,215.434,-11.8031,1,23.3035,187.366,8.00434,2,-52.8028,183.702,11.7654
28830922.752,0,-18.6086,215.494,-11.6746,1,23.389,187.326,7.9399,2,-52.7609,183.765,11.7543
28830959.044,0,-18.6145,215.81,-11.5832,1,23.3855,187.579,7.96541,2,-52.7346,184.049,11.7916
28830970.656,0,-18.6855,215.976,-11.6989,1,23.3221,187.699,7.96133,2,-52.7828,184.231,11.8308
28830994.641,0,-18.7959,216.216,-11.5707,1,23.2647,188.078,8.03618,2,-52.8385,184.362,11.8386
28831006.68,0,-18.8614,216.243,-12.1813,1,23.1115,188.34,8.10724,2,-52.9463,184.432,11.7936
28831042.605,0,-19.0181,216.43,-13.0616,1,23.0211,188.742,8.04536,2,-53.1448,184.783,11.7581
28831054.644,0,-19.167,216.759,-12.6216,1,22.9044,189.068,8.06268,2,-53.2149,184.767,11.7168
28831066.613,0,-19.2724,216.71,-13.1403,1,22.7887,189.261,8.00469,2,-53.3679,184.946,11.6711
28831102.653,0,-19.581,216.914,-12.8852,1,22.4633,189.384,7.85356,2,-53.7753,185.286,11.5196
28831126.706,0,-19.7486,216.985,-12.4988,1,22.3223,189.381,7.80658,2,-53.954,185.39,11.4525
28831150.825,0,-19.9995,217.176,-12.1078,1,22.1094,189.51,7.7673,2,-54.1665,185.496,11.4487
28831186.738,0,-20.1649,217.367,-12.3354,1,21.8798,189.749,7.76111,2,-54.306,185.909,11.5649
28831198.823,0,-20.2106,217.397,-12.4978,1,21.7647,189.753,7.79696,2,-54.3568,185.927,11.5342
28831222.729,0,-20.3075,217.6,-12.2441,1,21.7467,189.732,7.65752,2,-54.5016,186.033,11.493
28831234.77,0,-20.3409,217.557,-12.3896,1,21.7251,189.74,7.58923,2,-54.5176,186.158,11.5776
28831258.739,0,-20.3887,217.553,-12.2943,1,21.6222,189.862,7.6502,2,-54.5413,186.331,11.7006
28831270.823,0,-20.3985,217.63,-12.3676,1,21.6545,189.736,7.61768,2,-54.5334,186.278,11.7101
28831306.688,0,-20.3861,217.684,-12.3116,1,21.5845,190.013,7.79097,2,-54.5806,186.382,11.6841
28831352.842,0,-20.4141,217.877,-12.319,1,21.4411,190.159,7.98747,2,-54.628,186.482,11.6843
28831366.778,0,-20.3764,217.961,-12.2626,1,21.4096,190.267,8.14861,2,-54.6052,186.471,11.7137
28831378.729,0,-20.3522,217.915,-12.1555,1,21.4264,190.287,8.25173,2,-54.5719,186.28,11.6792
28831414.779,0,-20.328,218.053,-12.3341,1,21.5498,190.205,8.1693,2,-54.5187,186.334,11.7686
28831438.698,0,-20.2849,217.867,-12.1612,1,21.6187,190.118,8.11939,2,-54.5173,186.521,11.8757
28831450.739,0,-20.2997,217.822,-12.2824,1,21.6287,190.127,8.03384,2,-54.5238,186.526,11.9011
28831498.69,0,-20.4027,218.109,-12.1798,1,21.487,190.335,8.14147,2,-54.5604,186.616,11.9703
28831510.729,0,-20.4281,218.081,-12.0465,1,21.3848,190.431,8.25139,2,-54.5817,186.631,11.9863
28831522.72,0,-20.4834,218.242,-12.1692,1,21.3406,190.521,8.20891,2,-54.5953,186.613,11.9766
28831558.745,0,-20.577,218.407,-12.2123,1,21.2264,190.525,8.2255,2,-54.6614,186.682,12.0011
