timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3
47220963830 , 0 , -34.5278 , 274.671 , -6.20063 , 1 , -72.5038 , 247.373 , 14.9896 , 2 , 2.9299 , 246.298 , 17.6392 , 
47220987965 , 0 , -34.5611 , 276.085 , -6.86701 , 1 , -72.7168 , 249.297 , 13.7591 , 2 , 2.681 , 248.832 , 16.9609 , 
47221024935 , 0 , -34.6346 , 278.109 , -7.82458 , 1 , -72.7648 , 251.688 , 12.2898 , 2 , 2.65224 , 252.036 , 15.2123 , 
47221049368 , 0 , -34.844 , 279.728 , -8.62616 , 1 , -72.8405 , 252.866 , 11.1278 , 2 , 2.46687 , 253.37 , 14.1064 , 
47221086371 , 0 , -35.2141 , 281.356 , -10.7679 , 1 , -73.2161 , 254.366 , 9.20347 , 2 , 2.05191 , 255.08 , 12.0413 , 
47221110832 , 0 , -35.6104 , 282.983 , -11.7435 , 1 , -73.4942 , 255.764 , 8.04169 , 2 , 1.94797 , 256.25 , 10.1867 , 
47221147922 , 0 , -35.9277 , 284.504 , -14.0874 , 1 , -73.802 , 257.747 , 6.45279 , 2 , 1.44695 , 257.92 , 8.50069 , 
47221172387 , 0 , -35.9788 , 285.679 , -14.5883 , 1 , -73.7717 , 258.755 , 5.31572 , 2 , 1.35381 , 259.179 , 7.39125 , 
47221209275 , 0 , -35.6792 , 288.432 , -15.7536 , 1 , -73.1736 , 260.541 , 3.91383 , 2 , 1.82098 , 261.798 , 5.43713 , 
47221246220 , 0 , -34.7899 , 291.205 , -17.9224 , 1 , -72.1143 , 262.806 , 2.3362 , 2 , 2.52769 , 263.856 , 3.96904 , 
47221270710 , 0 , -34.0463 , 293.029 , -19.0825 , 1 , -71.4028 , 264.431 , 1.12123 , 2 , 3.21076 , 265.927 , 2.8163 , 
47221307728 , 0 , -33.1027 , 295.811 , -20.7771 , 1 , -70.4404 , 267.501 , -0.630224 , 2 , 4.16224 , 268.722 , 1.07278 , 
47221332222 , 0 , -32.7159 , 297.891 , -21.9926 , 1 , -69.9412 , 269.193 , -1.94445 , 2 , 4.52214 , 270.424 , -0.152589 , 
47221369102 , 0 , -32.3143 , 301.168 , -23.9961 , 1 , -69.3953 , 272.401 , -3.78953 , 2 , 5.24237 , 273.705 , -2.70935 , 
47221406119 , 0 , -31.9368 , 304.451 , -26.4505 , 1 , -68.9919 , 275.144 , -5.89285 , 2 , 5.52083 , 277.362 , -4.40593 , 
47221419036 , 0 , -31.7717 , 305.422 , -27.2091 , 1 , -68.787 , 276.414 , -6.40465 , 2 , 5.63076 , 278.632 , -5.02917 , 
47221455164 , 0 , -31.6241 , 308.845 , -29.3521 , 1 , -68.5208 , 279.36 , -7.92987 , 2 , 5.67295 , 281.62 , -6.6247 , 
47221492098 , 0 , -31.6874 , 312.35 , -31.35 , 1 , -68.4996 , 283.022 , -9.45596 , 2 , 5.65644 , 283.925 , -8.53889 , 
