timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3
43828726293 , 0 , 2.3838 , 206.683 , 89.4004 , 1 , -36.28 , 172.516 , 97.8859 , 2 , 39.6889 , 170.714 , 107.721 , 
43828762273 , 0 , 2.3319 , 206.875 , 89.2692 , 1 , -36.3155 , 172.813 , 98.0334 , 2 , 39.6053 , 170.949 , 107.72 , 
43828822680 , 0 , 2.20526 , 207.468 , 89.1212 , 1 , -36.4375 , 173.292 , 98.0582 , 2 , 39.3985 , 171.629 , 107.788 , 
43828846186 , 0 , 2.15074 , 207.669 , 89.5282 , 1 , -36.4619 , 173.381 , 98.0278 , 2 , 39.4882 , 171.742 , 107.648 , 
43828882235 , 0 , 2.05486 , 207.969 , 89.8669 , 1 , -36.5596 , 173.537 , 97.8692 , 2 , 39.4086 , 171.849 , 107.647 , 
43828906194 , 0 , 2.0904 , 207.959 , 89.8398 , 1 , -36.4828 , 173.534 , 98.0024 , 2 , 39.3997 , 171.832 , 107.716 , 
43828930236 , 0 , 2.18496 , 208.002 , 89.9979 , 1 , -36.3915 , 173.513 , 98.0701 , 2 , 39.4378 , 171.857 , 107.912 , 
43828966283 , 0 , 2.33429 , 207.857 , 89.8943 , 1 , -36.2137 , 173.505 , 98.3042 , 2 , 39.5318 , 171.862 , 108.195 , 
43829014402 , 0 , 2.42887 , 207.571 , 90.006 , 1 , -36.1437 , 173.468 , 98.3501 , 2 , 39.8181 , 171.558 , 107.967 , 
43829050380 , 0 , 2.36176 , 207.497 , 89.6774 , 1 , -36.2217 , 173.351 , 98.4126 , 2 , 39.6331 , 171.819 , 108.243 , 
43829086364 , 0 , 2.22742 , 207.467 , 89.5891 , 1 , -36.3955 , 173.163 , 98.0976 , 2 , 39.4411 , 171.601 , 108.097 , 
43829134381 , 0 , 2.05751 , 207.356 , 89.8433 , 1 , -36.6201 , 173.252 , 98.0378 , 2 , 39.3055 , 171.479 , 107.947 , 
