AccTime, AccX, AccY, AccZ, GravityTime, GravityX, GravityY, GravityZ
2715.209961, -0.1788780242204666, 0.4186793565750122, 0.11795470863580704, 2697.052001, 0.13711486756801605, 7.928861618041992, 5.774691581726074
2731.231689, -0.13816268742084503, 0.3302133083343506, 0.160166934132576, 2715.270996, 0.1453477442264557, 7.933053016662598, 5.768703937530518
2734.802246, -0.05553451552987099, 0.25132736563682556, 0.19279907643795013, 2731.292725, 0.1541793793439865, 7.936795234680176, 5.76346492767334
2751.159667, 0.1145118698477745, 0.1353186070919037, 0.19728973507881165, 2734.832763, 0.16241225600242615, 7.941435813903809, 5.75687837600708
2754.791258, 0.22722747921943665, 0.10553054511547089, 0.23620879650115967, 2751.251219, 0.16869919002056122, 7.947722434997559, 5.747897148132324
2774.81079, 0.0796343982219696, 0.20148101449012756, 0.09804610908031464, 2754.821776, 0.17184264957904816, 7.96493673324585, 5.723947048187256
2785.369873, -7.484435918740928E-4, 0.2579136788845062, -0.03532653674483299, 2774.841308, 0.17064514756202698, 7.974217414855957, 5.711223602294922
2804.595948, -0.10343490540981293, 0.35640883445739746, -0.08696914464235306, 2785.40039, 0.1689985692501068, 7.989635467529297, 5.68966817855835
2824.768066, -0.1498384028673172, 0.29773086309432983, -0.08068221807479858, 2804.626465, 0.17184264957904816, 8.000712394714355, 5.673951148986816
2862.854004, -0.04191284254193306, 0.30820906162261963, -0.10328521579504013, 2825.164794, 0.17812958359718323, 8.004454612731934, 5.668412685394287
2862.884521, 0.05733077973127365, 0.32242950797080994, -0.1791774034500122, 2862.854004, 0.18636246025562286, 8.006999015808105, 5.664520740509033
2864.929199, 0.004939727950841188, 0.2603086829185486, -0.09175918251276016, 2862.884521, 0.199535071849823, 8.009095191955566, 5.661077499389648
2880.981446, -0.0014968871837481856, 0.2790197730064392, -0.03203338757157326, 2864.929199, 0.20237915217876434, 8.009544372558594, 5.660329341888428
2884.70459, -0.02200424112379551, 0.29728180170059204, 0.07589218020439148, 2881.042481, 0.20193009078502655, 8.010741233825684, 5.658682823181152
2904.60205, -0.09131012111902237, 0.33694931864738464, 0.09624984860420227, 2884.735108, 0.1989363133907318, 8.01298713684082, 5.655539035797119
2904.693603, -0.20073257386684418, 0.33635056018829346, 0.1504371613264084, 2904.632567, 0.1944456547498703, 8.016429901123047, 5.6508989334106445
2924.774169, -0.24054977297782898, 0.32317793369293213, 0.1194515973329544, 2904.754638, 0.19070343673229218, 8.0203218460083, 5.645659923553467
2924.865722, -0.2347119152545929, 0.21749770641326904, 0.07379654049873352, 2924.804686, 0.1893562376499176, 8.024513244628906, 5.63967227935791
2945.068359, 0.017064513638615608, 0.02694397047162056, -0.11870315670967102, 2924.926757, 0.1939965784549713, 8.03244686126709, 5.628146171569824
2967.590332, 0.11376342922449112, 0.06346801668405533, -0.03577560558915138, 2945.465087, 0.1950443983078003, 8.035590171813965, 5.623655319213867
2967.62085, 0.07110214233398438, 0.08756790310144424, 0.11256591975688934, 2967.62085, 0.19235000014305115, 8.037835121154785, 5.620512008666992
2981.292724, -0.050594788044691086, 0.0847238153219223, 0.2579136788845062, 2967.651367, 0.18681152164936066, 8.040229797363281, 5.617218971252441
2988.494872, -0.13801300525665283, 0.1341210901737213, 0.31704071164131165, 2981.323242, 0.18052460253238678, 8.043523788452148, 5.61287784576416
3000.762939, -0.25177642703056335, 0.15762221813201904, 0.1549278199672699, 2988.555907, 0.17543518543243408, 8.047266006469727, 5.607489109039307
3004.760741, -0.21555176377296448, 0.14699432253837585, 0.051193542778491974, 3000.793456, 0.17304016649723053, 8.049960136413574, 5.6037468910217285
3020.812988, -0.1347198486328125, 0.17109420895576477, 0.09565109014511108, 3004.791259, 0.1748364269733429, 8.049211502075195, 5.604794979095459
3024.719238, 0.06451583653688431, 0.12289443612098694, 0.25641676783561707, 3020.843506, 0.1797761470079422, 8.044870376586914, 5.610931873321533
3040.771485, 0.23351439833641052, 0.03592529147863388, 0.5794450640678406, 3024.810791, 0.18666183948516846, 8.038434028625488, 5.619913101196289
3044.86084, 0.36254608631134033, 0.07694000005722046, 0.7533833384513855, 3040.802003, 0.19220031797885895, 8.033044815063477, 5.627248287200928
3073.547362, 0.3457809388637543, 0.11391311883926392, 0.7976911664009094, 3045.196534, 0.19369719922542572, 8.031997680664063, 5.628745079040527
3073.577879, 0.19220031797885895, 0.16660355031490326, 0.6125262379646301, 3073.577879, 0.19130218029022217, 8.035889625549316, 5.623206615447998
3081.146239, 0.06286926567554474, 0.26749375462532043, 0.46119093894958496, 3073.608397, 0.18666183948516846, 8.043673515319824, 5.612428665161133
3087.402342, -0.025596771389245987, 0.25207579135894775, 0.280516654253006, 3081.176757, 0.18217116594314575, 8.052803993225098, 5.599405765533447
3100.708008, -0.004790039267390966, 0.23695725202560425, 0.13142669200897217, 3087.43286, 0.1803749054670334, 8.061037063598633, 5.587430953979492
3104.858398, 0.11196716129779816, 0.22752685844898224, 0.07050338387489319, 3100.738525, 0.18187180161476135, 8.067323684692383, 5.578449726104736
3120.819092, 0.19205063581466675, 0.24189697206020355, 0.11196716129779816, 3104.919433, 0.1850152611732483, 8.071065902709961, 5.572911262512207
3125.183106, 0.17962646484375, 0.23680755496025085, 0.2100132703781128, 3120.84961, 0.18875747919082642, 8.073162078857422, 5.569767475128174
3145.751952, 0.32692015171051025, 0.24608825147151947, 0.2878514230251312, 3125.213623, 0.19758911430835724, 8.079298973083496, 5.560486793518066
3161.010741, 0.35116973519325256, 0.30581405758857727, 0.17648300528526306, 3145.812987, 0.20148101449012756, 8.085136413574219, 5.551954746246338
3165.43579, 0.34129029512405396, 0.35281631350517273, 0.07694000005722046, 3161.682128, 0.2044747918844223, 8.092620849609375, 5.540877819061279
3195.19043, 0.199085995554924, 0.35146912932395935, 0.09175918251276016, 3165.55786, 0.20312759280204773, 8.109536170959473, 5.516179084777832
3195.220947, 0.1149609386920929, 0.3341052234172821, 0.11645782738924026, 3195.220947, 0.19818787276744843, 8.119115829467773, 5.502257823944092
3209.014893, 0.011226654052734375, 0.41209304332733154, 0.08083190768957138, 3195.251465, 0.19130218029022217, 8.130791664123535, 5.485193252563477
3215.08789, -0.14145584404468536, 0.45580214262008667, -0.046104125678539276, 3209.04541, 0.18306930363178253, 8.145011901855469, 5.464386940002441
