time(ms), x(mm), y, z, ax(m/s2), ay, az
28937949.066,61.537698061,310.23580791,178.70417567,-80.771450804,-22.563221528,26.177552821
28937949.566,61.511842958,310.17231523,178.81190025,-79.394261253,-22.49275467,25.089981293
28937950.066,61.470984753,310.12341074,178.91517007,-78.009368123,-22.40139974,24.021798973
28937950.566,61.41534092,310.08872984,179.01401774,-76.618090325,-22.290070651,22.971987424
28937951.066,61.345128933,310.06790793,179.10847584,-75.221617712,-22.159676972,21.939535298
28937951.566,61.260566266,310.0605804,179.19857699,-73.821018611,-22.011122251,20.923440062
28937952.066,61.161870391,310.06638267,179.28435379,-72.417247904,-21.845302443,19.922709605
28937952.566,61.049258783,310.08495012,179.36583881,-71.011155483,-21.663104435,18.936363719
28937953.066,60.922948914,310.11591816,179.44306468,-69.603494902,-21.465404666,17.96343548
28937953.566,60.783158259,310.15892218,179.51606398,-68.194932091,-21.253067847,17.002972505
28937954.066,60.630104291,310.21359758,179.58486931,-66.786054011,-21.026945764,16.054038126
28937954.566,60.464004484,310.27957977,179.64951327,-65.377377137,-20.787876173,15.115712456
28937955.066,60.285076312,310.35650415,179.71002847,-63.96935568,-20.536681782,14.187093363
28937955.566,60.093537247,310.4440061,179.76644749,-62.562389496,-20.274169303,13.267297365
28937956.066,59.889604763,310.54172104,179.81880294,-61.156831595,-20.001128594,12.355460436
28937956.566,59.673496335,310.64928435,179.86712741,-59.752995226,-19.718331865,11.450738737
28937957.066,59.445429435,310.76633145,179.91145351,-58.351160491,-19.426532962,10.552309273
28937957.566,59.205621537,310.89249773,179.95181383,-56.951580463,-19.126466712,9.6593704834
28937958.066,58.954290115,311.02741858,179.98824096,-55.5544868,-18.818848338,8.7711427609
28937958.566,58.691652642,311.17072941,180.02076752,-54.160094823,-18.504372934,7.8868689139
28937959.066,58.417926592,311.32206561,180.04942609,-52.768608079,-18.183714997,7.0058145679
28937959.566,58.133329438,311.48106259,180.07424928,-51.380222368,-17.857528018,6.1272685111
28937960.066,57.838078655,311.64735575,180.09526968,-49.995129248,-17.52644412,5.2505429881
28937960.566,57.532391715,311.82058048,180.11251989,-48.613519034,-17.191073759,4.3749739429
28937961.066,57.216486092,312.00037218,180.12603251,-47.235583289,-16.852005456,3.4999212185
28937961.566,56.89057926,312.18636626,180.13584015,-45.861516838,-16.509805592,2.6247687045
28937962.066,56.554888692,312.37819811,180.14197538,-44.491519321,-16.165018231,1.7489244495
28937962.566,56.209631862,312.57550312,180.14447082,-43.1257963,-15.818164999,0.87182072992
28937963.066,55.855026244,312.77791671,180.14335907,-41.764559955,-15.469744986,-0.0070859188622
28937963.566,55.49128931,312.98507427,180.13867272,-40.40802939,-15.120234695,-0.88831470891
28937964.066,55.118638535,313.19661119,180.13044436,-39.056430582,-14.770088024,-1.7723606383
28937964.566,54.737291393,313.41216288,180.11870661,-37.709996004,-14.419736279,-2.6596945614
28937965.066,54.347465356,313.63136474,180.10349205,-36.368963939,-14.069588212,-3.5507632961
28937965.566,53.949377898,313.85385217,180.08483329,-35.033577545,-13.720030096,-4.4459897528
28937966.066,53.543246493,314.07926056,180.06276292,-33.704083683,-13.371425819,-5.3457730954
28937966.566,53.129288615,314.30722531,180.03731354,-32.380731541,-13.024117004,-6.2504889275
28937967.066,52.707721737,314.53738183,180.00851775,-31.063771107,-12.678423155,-7.1604895048
28937967.566,52.278763332,314.76936551,179.97640815,-29.753451496,-12.33464181,-8.0761039665
28937968.066,51.842630875,315.00281175,179.94101734,-28.450019191,-11.99304873,-8.9976385923
28937968.566,51.399541838,315.23735595,179.90237791,-27.153716203,-11.653898086,-9.9253770791
28937969.066,50.949713695,315.47263352,179.86052247,-25.8647782,-11.317422674,-10.859580834
28937969.566,50.493363921,315.70827984,179.81548361,-24.583432621,-10.983834131,-11.800489288
28937970.066,50.030709988,315.94393032,179.76729393,-23.309896801,-10.653323166,-12.748320221
28937970.566,49.56196937,316.17922036,179.71598602,-22.044376134,-10.326059801,-13.703270108
28937971.066,49.08735954,316.41378536,179.66159249,-20.787062294,-10.002193612,-14.665514466
28937971.566,48.607097973,316.64726071,179.60414594,-19.538131524,-9.6818539742,-15.635208231
28937972.066,48.121402142,316.87928182,179.54367897,-18.297743024,-9.3651503198,-16.612486125
28937972.566,47.63048952,317.10948408,179.48022416,-17.06603743,-9.0521723792,-17.597463044
28937973.066,47.13457758,317.33750289,179.41381412,-15.843135417,-8.7429904348,-18.590234446
28937973.566,46.633883798,317.56297366,179.34448146,-14.629136406,-8.4376555606,-19.59087675
28937974.066,46.128625645,317.78553179,179.27225875,-13.42411741,-8.1361998653,-20.599447732
28937974.566,45.619020596,318.00481266,179.19717862,-12.228131985,-7.8386367191,-21.615986933
28937975.066,45.105286124,318.22045168,179.11927365,-11.041209328,-7.5449609796,-22.640516048
28937975.566,44.587639703,318.43208426,179.03857644,-9.8633534746,-7.2551491993,-23.673039343
28937976.066,44.066298806,318.63934578,178.95511959,-8.6945426246,-6.9691598246,-24.713544036
28937976.566,43.541480908,318.84187165,178.8689357,-7.5347285764,-6.6869333797,-25.762000703
28937977.066,43.01340348,319.03929727,178.78005736,-6.3838362595,-6.4083926324,-26.818363658
28937977.566,42.482283998,319.23125803,178.68851718,-5.2417633607,-6.1334427422,-27.882571334
28937978.066,41.948339934,319.41738934,178.59434776,-4.108380032,-5.8619713902,-28.954546651
28937978.566,41.411788763,319.5973266,178.49758169,-2.9835286648,-5.5938488845,-30.034197382
28937979.066,40.872847957,319.7707052,178.39825156,-1.867023725,-5.3289282444,-31.121416487
28937979.566,40.331734991,319.93716054,178.29638999,-0.75865162715,-5.0670452582,-32.216082457
28937980.066,39.788667338,320.09632802,178.19202956,0.34182935829,-4.8080185155,-33.318059619
28937980.566,39.243862471,320.24784305,178.08520288,1.4346891857,-4.5516494081,-34.427198443
28937981.066,38.697537864,320.39134102,177.97594254,2.5202261104,-4.2977221053,-35.543335817
28937981.566,38.149910991,320.52645733,177.86428115,3.5987667816,-4.0460034925,-36.666295303
28937982.066,37.601199325,320.65282738,177.75025129,4.670666362,-3.7962430784,-37.795887376
28937982.566,37.05162034,320.77008656,177.63388558,5.7363086917,-3.5481728673,-38.931909633
28937983.066,36.50139151,320.87787029,177.5152166,6.7961065095,-3.3015071931,-40.074146976
28937983.566,35.950730307,320.97581395,177.39427695,7.8505017482,-3.0559425144,-41.222371774
28937984.066,35.399854206,321.06355294,177.27109924,8.8999659195,-2.8111571708,-42.376343985
28937984.566,34.84898068,321.14072268,177.14571607,9.945000602,-2.5668110932,-43.535811256
28937985.066,34.298327202,321.20695854,177.01816002,10.98613805,-2.3225454762,-44.700508981
28937985.566,33.748111247,321.26189594,176.8884637,12.02394194,-2.0779823974,-45.870160335
28937986.066,33.198550288,321.30517028,176.75665971,13.05900827,-1.832724395,-47.044476258
28937986.566,32.649861798,321.33641694,176.62278064,14.091966428,-1.5863539953,-48.22315541
28937987.066,32.102263251,321.35527134,176.4868591,15.123480456,-1.3384331859,-49.405884077
28937987.566,31.55597212,321.36136887,176.34892768,16.154250519,-1.0885028425,-50.592336043
28937988.066,31.01120588,321.35434493,176.20901898,17.185014603,-0.83608209787,-51.782172403
28937988.566,30.468182003,321.33383491,176.0671656,18.216550479,-0.58066765718,-52.97504134
28937989.066,29.927117963,321.29947423,175.92340014,19.249677924,-0.32173305919,-54.170577841
28937989.566,29.388231235,321.25089827,175.77775519,20.28526127,-0.058727876019,-55.368403369
28937990.066,28.85173929,321.18774244,175.63026336,21.324212269,0.2089231372,-56.568125467
28937990.566,28.317859604,321.10964213,175.48095723,22.367493338,0.48182096041,-57.769337313
28937991.066,27.786809649,321.01623275,175.32986942,23.416121194,0.76059327294,-58.971617204
28937991.566,27.2588069,320.90714969,175.17703252,24.47117094,1.045895486,-60.174527972
28937992.066,26.734068829,320.78202836,175.02247913,25.53378063,1.3384118219,-61.377616342
28937992.566,26.21281291,320.64050415,174.86624184,26.605156364,1.6388564523,-62.580412194
28937993.066,25.695256617,320.48221246,174.70835325,27.686577967,1.9479746853,-63.782427767
28937993.566,25.181617424,320.30678869,174.54884597,28.779405313,2.2665441984,-64.983156762
28937994.066,24.672112803,320.11386824,174.38775259,29.885085345,2.5953763144,-66.182073363
28937994.566,24.166960229,319.90308651,174.22510571,31.005159872,2.9353173075,-67.378631163
28937995.066,23.666377176,319.6740789,174.06093792,32.141274202,3.2872497402,-68.572261986
28937995.566,23.170581116,319.42648081,173.89528183,33.295186707,3.6520938048,-69.762374597
28937996.066,22.679789523,319.15992763,173.72817004,34.466883473,4.0304242245,-70.945260313
28937996.566,22.194219871,318.87405477,173.55963513,35.247371275,4.3388210885,-71.450601998
28937997.066,21.714089312,318.56849852,173.38970973,35.121890314,4.4674277159,-70.441196868
28937997.566,21.239545067,318.2430885,173.21842911,34.888423872,4.5770796889,-69.221076695
28937998.066,20.770577456,317.89808813,173.0458345,34.672345817,4.6935072743,-67.996034077
28937998.566,20.307155432,317.53381992,172.87196796,34.472898197,4.8165338822,-66.766295929
28937999.066,19.849247948,317.15060637,172.69687154,34.289343482,4.9459827238,-65.532081436
28937999.566,19.396823956,316.74876998,172.52058731,34.120959277,5.0816759937,-64.293602758
28938000.066,18.949852409,316.32863323,172.3431573,33.967032736,5.2234340533,-63.051065728
28938000.566,18.508302261,315.89051864,172.16462359,33.826854577,5.3710746264,-61.804670498
28938001.066,18.072142465,315.43474869,171.98502822,33.699712618,5.5244119976,-60.554612174
28938001.566,17.641341972,314.96164589,171.80441324,33.584884704,5.6832562254,-59.301081419
28938002.066,17.215869737,314.47153274,171.62282071,33.481630903,5.8474123675,-58.044265033
28938002.566,16.795694712,313.96473173,171.44029269,33.389184833,6.0166797219,-56.784346519
28938003.066,16.380785849,313.44156537,171.25687123,33.306743944,6.1908510913,-55.521506616
28938003.566,15.971112103,312.90235614,171.07259838,33.233458571,6.3697120714,-54.255923826
28938004.066,15.566642425,312.34742656,170.8875162,33.168419552,6.5530403714,-52.987774915
28938004.566,15.16734577,311.77709911,170.70166674,33.110644175,6.7406051715,-51.717235403
28938005.066,14.773191088,311.1916963,170.51509206,33.059060189,6.932166522,-50.444480035
28938005.566,14.384147335,310.59154062,170.32783421,33.012487602,7.1274747978,-49.16968324
28938006.066,14.000183462,309.97695458,170.13993525,32.96961797,7.3262702061,-47.893019578
28938006.566,13.621268422,309.34826067,169.95143722,32.92899086,7.5282823658,-46.614664168
28938007.066,13.247371169,308.70578139,169.7623822,32.888967183,7.7332299568,-45.334793112
28938007.566,12.878460655,308.04983924,169.57281221,32.847699138,7.9408204589,-44.053583899
28938008.066,12.514505833,307.38075672,169.38276934,32.803096539,8.1507499778,-42.771215807
28938008.566,12.155475656,306.69885632,169.19229562,32.752789447,8.3627031777,-41.487870282
28938009.066,11.801339077,306.00446054,169.00143311,32.694087207,8.5763533193,-40.203731321
28938009.566,11.452065049,305.29789189,168.81022387,32.623934279,8.7913624182,-38.918985829
28938010.066,11.107622525,304.57947285,168.61870994,32.538863699,9.0073815276,-37.633823979
