time(ms), x(mm), y, z, ax(m/s2), ay, az
28829350.11,-7.8954287714,240.46607318,112.42291937,5.3609341211,6.0577461978,3.9429342204
28829350.61,-7.8717827003,240.42863329,112.36132079,5.1603703543,5.8944496785,3.8308985324
28829351.11,-7.8470177296,240.39317701,112.29976121,4.9597512148,5.7310192325,3.7190244709
28829351.61,-7.8211777651,240.35964806,112.23823891,4.7590847717,5.5674608762,3.6072940538
28829352.11,-7.7943067129,240.32799015,112.1767522,4.5583788176,5.4037804736,3.4956899163
28829352.61,-7.7664484786,240.298147,112.11529938,4.3576408685,5.2399837342,3.3841953132
28829353.11,-7.7376469684,240.27006233,112.05387876,4.1568781646,5.0760762151,3.2727941201
28829353.61,-7.7079460881,240.24367985,111.99248863,3.9560976695,4.9120633199,3.1614708349
28829354.11,-7.6773897435,240.21894327,111.9311273,3.7553060711,4.7479502999,3.0502105791
28829354.61,-7.6460218406,240.19579632,111.86979306,3.554509781,4.5837422532,2.9389990991
28829355.11,-7.6138862854,240.1741827,111.80848422,3.3537149351,4.4194441261,2.8278227665
28829355.61,-7.5810269836,240.15404614,111.74719908,3.1529273932,4.2550607134,2.7166685799
28829356.11,-7.5474878412,240.13533035,111.68593594,2.9521527388,4.0905966566,2.6055241639
28829356.61,-7.5133127642,240.11797904,111.6246931,2.7513962797,3.9260564474,2.4943777713
28829357.11,-7.4785456584,240.10193593,111.56346886,2.5506630474,3.7614444251,2.3832182824
28829357.61,-7.4432304297,240.08714474,111.50226153,2.3499577969,3.596764778,2.2720352051
28829358.11,-7.407410984,240.07354917,111.4410694,2.1492850071,3.4320215441,2.1608186757
28829358.61,-7.3711312272,240.06109296,111.37989077,1.94864888,3.2672186105,2.0495594586
28829359.11,-7.3344350653,240.04971981,111.31872395,1.7480533412,3.102359714,1.9382489455
28829359.61,-7.2973664042,240.03937344,111.25756724,1.5475020392,2.9374484414,1.8268791564
28829360.11,-7.2599691497,240.02999756,111.19641893,1.3469983455,2.7724882297,1.7154427379
28829360.61,-7.2222872077,240.02153589,111.13527734,1.1465453542,2.6074823662,1.6039329639
28829361.11,-7.1843644842,240.01393215,111.07414076,0.94614588198,2.442433989,1.4923437351
28829361.61,-7.1462448851,240.00713005,111.01300749,0.74580246787,2.2773460871,1.3806695771
28829362.11,-7.1079723163,240.0010733,110.95187583,0.5455173728,2.1122215004,1.2689056417
28829362.61,-7.0695906836,239.99570563,110.89074408,0.34529257957,1.9470629203,1.1570477047
28829363.11,-7.031143893,239.99097075,110.82961055,0.14512979254,1.7818728897,1.045092166
28829363.61,-6.9926758504,239.98681237,110.76847354,-0.054969562508,1.6166538038,0.9330360489
28829364.11,-6.9542304617,239.9831742,110.70733135,-0.25500433883,1.451407909,0.82087699873
