timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3, edge1, edge2, edge3
39424995542 , 0 , 91.9154 , 243.345 , 145.753 , 1 , 52.7758 , 211.521 , 150.793 , 2 , 126.41 , 204.55 , 162.548 , 50.6955 , 54.562 , 74.8919 , 
39425019520 , 0 , 91.7486 , 243.578 , 145.726 , 1 , 52.7969 , 211.751 , 150.983 , 2 , 126.211 , 204.875 , 162.335 , 50.5752 , 54.4196 , 74.604 , 
39425043950 , 0 , 91.6649 , 244.129 , 145.501 , 1 , 52.5996 , 212.088 , 150.897 , 2 , 125.862 , 205.036 , 162.014 , 50.8116 , 54.5013 , 74.4361 , 
39425067505 , 0 , 91.3411 , 244.269 , 144.888 , 1 , 52.3552 , 212.439 , 151.038 , 2 , 125.881 , 205.593 , 161.855 , 50.7038 , 54.559 , 74.632 , 
39425079438 , 0 , 91.2089 , 244.648 , 145.396 , 1 , 52.2076 , 212.648 , 151.177 , 2 , 125.723 , 205.865 , 161.89 , 50.7789 , 54.4739 , 74.6013 , 
39425103543 , 0 , 90.8106 , 244.667 , 144.273 , 1 , 51.8415 , 213.065 , 151.36 , 2 , 125.295 , 205.841 , 161.476 , 50.6703 , 54.7037 , 74.4977 , 
39425127653 , 0 , 90.257 , 244.942 , 144.981 , 1 , 51.1093 , 213.099 , 151.017 , 2 , 124.838 , 205.7 , 160.901 , 50.8228 , 54.6738 , 74.7557 , 
39425151611 , 0 , 89.4423 , 244.939 , 144.984 , 1 , 50.338 , 213.239 , 151.027 , 2 , 123.703 , 205.61 , 160.812 , 50.7007 , 54.5077 , 74.407 , 
39425163661 , 0 , 89.1857 , 245.162 , 144.415 , 1 , 50.009 , 213.358 , 151.249 , 2 , 123.491 , 205.625 , 160.476 , 50.9215 , 54.7541 , 74.4619 , 
39425187590 , 0 , 88.4059 , 245.163 , 144.017 , 1 , 49.22 , 213.639 , 151.333 , 2 , 122.791 , 205.022 , 159.46 , 50.8214 , 55.0644 , 74.5186 , 
