time since 1970(s), ms
1401178645, 492
timestamp(us), fingerID, X1, Y1, Z1, fingerID, X2, Y2, Z2, fingerID, X3, Y3, Z3, edge1, edge2, edge3
27356880574 , 0 , -1.81409 , 168.363 , 30.6122 , 1 , -60.5317 , 120.836 , 62.1505 , 2 , 56.0317 , 122.099 , 72.1975 , 81.8615 , 84.9461 , 117.002 , 
27356904520 , 0 , -1.66917 , 168.724 , 30.4812 , 1 , -60.2302 , 121.52 , 61.8826 , 2 , 56.3791 , 122.794 , 71.6259 , 81.5085 , 84.688 , 117.023 , 
27356928676 , 0 , -1.43594 , 169.312 , 30.1355 , 1 , -59.8637 , 122.366 , 61.6569 , 2 , 56.6952 , 122.829 , 71.0046 , 81.3105 , 84.9132 , 116.934 , 
27356952740 , 0 , -1.23468 , 170.075 , 29.9257 , 1 , -59.6088 , 122.536 , 60.9636 , 2 , 56.8251 , 123.645 , 70.8262 , 81.4302 , 84.8498 , 116.856 , 
27356976722 , 0 , -1.03127 , 170.971 , 28.7474 , 1 , -59.474 , 123.59 , 60.6282 , 2 , 57.1458 , 124.107 , 70.2851 , 81.7121 , 85.4763 , 117.02 , 
27356988756 , 0 , -0.952937 , 171.527 , 28.3029 , 1 , -59.396 , 124.208 , 60.4708 , 2 , 57.2028 , 124.698 , 70.201 , 81.7889 , 85.6186 , 117.005 , 
27357024802 , 0 , -0.764481 , 173.145 , 28.5215 , 1 , -59.0717 , 125.864 , 59.9614 , 2 , 57.7093 , 126.357 , 69.8662 , 81.3862 , 85.5436 , 117.201 , 
27357036718 , 0 , -0.665186 , 173.866 , 28.6441 , 1 , -58.9578 , 126.515 , 59.8528 , 2 , 57.8351 , 127.226 , 69.9544 , 81.3273 , 85.4639 , 117.231 , 
27357072779 , 0 , -0.369868 , 175.761 , 28.4909 , 1 , -58.626 , 128.248 , 59.4823 , 2 , 57.9324 , 128.658 , 69.647 , 81.3125 , 85.5081 , 117.002 , 
27357096682 , 0 , -0.13739 , 177.121 , 28.2849 , 1 , -58.332 , 129.732 , 59.3372 , 2 , 58.2012 , 130.228 , 69.5628 , 81.2193 , 85.4763 , 116.982 , 
27357108761 , 0 , 0.0212013 , 177.749 , 27.68 , 1 , -58.2247 , 130.303 , 59.1606 , 2 , 58.217 , 131.406 , 69.7238 , 81.4539 , 85.4525 , 116.925 , 
