0 , 0 , (-188.903, 197.653, 77.4267)
1 , 0 , (-162.157, 193.099, 119.171)
0 , 0 , (-186.718, 200.879, 68.586)
1 , 0 , (-160.511, 192.971, 114.485)
0 , 0 , (-185.347, 204.662, 60.2783)
1 , 0 , (-158.219, 193.214, 108.689)
0 , 0 , (-180.305, 206.087, 50.6491)
1 , 0 , (-153.946, 192.538, 99.5245)
0 , 0 , (-175.848, 204.913, 43.2827)
1 , 0 , (-149.949, 191.846, 92.8171)
0 , 0 , (-171.155, 203.986, 35.0358)
1 , 0 , (-143.49, 189.873, 84.8821)
0 , 0 , (-162.122, 199.401, 24.7977)
1 , 0 , (-137.336, 186.899, 75.3101)
0 , 0 , (-153.662, 194.846, 16.692)
1 , 0 , (-131.219, 182.017, 68.838)
0 , 0 , (-143.496, 189.817, 9.25256)
1 , 0 , (-124.251, 180.619, 61.3353)
0 , 0 , (-131.249, 184.883, 1.98737)
1 , 0 , (-113.371, 176.024, 54.9018)
0 , 0 , (-122.612, 181.96, -2.72204)
1 , 0 , (-106.384, 174.26, 51.4085)
0 , 0 , (-111.141, 180.306, -6.15322)
1 , 0 , (-95.7829, 172.939, 47.4797)
0 , 0 , (-103.532, 179.44, -8.12577)
0 , 0 , (-92.3344, 179.963, -9.51982)
0 , 0 , (-84.1203, 180.896, -9.13434)
0 , 0 , (-75.0571, 182.086, -8.66606)
0 , 0 , (-68.8367, 182.077, -8.95125)
0 , 0 , (-59.9962, 182.774, -9.59659)
0 , 0 , (-47.7518, 183.961, -10.784)
0 , 0 , (-41.7939, 184.634, -9.95873)
0 , 0 , (-31.0851, 186.656, -9.64019)
0 , 0 , (-22.5409, 187.816, -10.1238)
0 , 0 , (-15.041, 188.861, -10.7916)
0 , 0 , (-8.03631, 190.196, -9.54732)
0 , 0 , (-0.652436, 191.455, -7.55318)
0 , 0 , (6.97502, 191.896, -7.92527)
0 , 0 , (13.971, 192.314, -7.69282)
0 , 0 , (20.8904, 190.519, -9.67981)
0 , 0 , (35.9525, 191.134, -8.73453)
0 , 0 , (39.0485, 191.143, -7.88236)
0 , 0 , (46.0809, 191.093, -8.02076)
0 , 0 , (54.0303, 191.217, -7.59356)
0 , 0 , (62.2994, 191.137, -7.42523)
0 , 0 , (70.9804, 191.299, -5.60615)
0 , 0 , (80.2024, 191.657, -3.66247)
0 , 0 , (89.5358, 191.155, -3.6624)
0 , 0 , (98.7466, 191.038, -2.54386)
0 , 0 , (110.307, 191.089, -0.341796)
0 , 0 , (118.97, 190.638, 1.0879)
0 , 0 , (128.234, 189.486, 1.10011)
0 , 0 , (136.197, 188.234, 2.57998)
0 , 0 , (143.829, 185.915, 1.50486)
0 , 0 , (151.588, 185.135, 4.14833)
0 , 0 , (160.806, 183.166, 3.41086)
0 , 0 , (170.973, 181.299, 5.44954)
0 , 0 , (179.212, 178.854, 6.05443)
0 , 0 , (189.118, 176.165, 5.66541)
0 , 0 , (197.805, 174.414, 8.74933)
0 , 0 , (207.547, 172.281, 10.7827)
0 , 0 , (217.612, 171.388, 13.9765)
0 , 0 , (227.572, 169.519, 18.2827)
1 , 0 , (201.427, 184.268, 73.7939)
0 , 0 , (232.373, 165.601, 24.0473)
0 , 0 , (233.442, 164.79, 33.6074)
0 , 0 , (231.828, 165.987, 43.7195)
0 , 0 , (193.071, 181.404, 93.1052)
0 , 0 , (197.022, 158.788, 78.0604)
1 , 0 , (168.558, 156.548, 130.262)
0 , 0 , (175.097, 146.037, 86.7836)
