time(ms), x(mm), y, z, ax(m/s2), ay, az
29036693.699,-176.16349665,139.57916745,155.11244551,19.570395986,-13.948360116,-6.5019126842
29036694.199,-176.23811467,139.65440309,155.08564251,19.152361417,-13.675732352,-6.3847974262
29036694.699,-176.30921611,139.72518869,155.0571464,18.735076782,-13.402038623,-6.2661164917
29036695.199,-176.37687527,139.79161618,155.02699046,18.318503059,-13.127336994,-6.1459539981
29036695.699,-176.44116645,139.85377752,154.99520797,17.902601999,-12.851684102,-6.0243919898
29036696.199,-176.50216396,139.91176463,154.9618322,17.487336129,-12.575135182,-5.9015104651
29036696.699,-176.55994211,139.96566945,154.92689642,17.072668763,-12.297744087,-5.7773874009
29036697.199,-176.6145752,140.01558392,154.89043392,16.658564007,-12.019563307,-5.652098776
29036697.699,-176.66613754,140.06159997,154.85247797,16.24498677,-11.74064399,-5.5257185957
29036698.199,-176.71470344,140.10380955,154.81306184,15.831902766,-11.461035962,-5.3983189119
29036698.699,-176.7603472,140.14230459,154.77221881,15.419278523,-11.180787741,-5.269969844
29036699.199,-176.80314313,140.17717702,154.72998216,15.007081386,-10.899946555,-5.1407395995
29036699.699,-176.84316553,140.20851879,154.68638516,14.595279525,-10.618558357,-5.0106944907
29036700.199,-176.88048871,140.23642184,154.64146108,14.183841934,-10.336667843,-4.8798989537
29036700.699,-176.91518698,140.26097809,154.59524322,13.772738442,-10.054318462,-4.7484155636
29036701.199,-176.94733465,140.28227949,154.54776483,13.361939709,-9.7715524302,-4.6163050508
29036701.699,-176.97700601,140.30041797,154.4990592,12.951417236,-9.4884107437,-4.4836263141
29036702.199,-177.00427537,140.31548547,154.44915959,12.541143363,-9.2049331901,-4.3504364357
29036702.699,-177.02921705,140.32757393,154.3980993,12.131091275,-8.9211583589,-4.2167906914
29036703.199,-177.05190535,140.33677529,154.34591159,11.721235001,-8.6371236508,-4.0827425647
29036703.699,-177.07241457,140.34318147,154.29262974,11.31154942,-8.3528652883,-3.9483437548
29036704.199,-177.09081902,140.34688443,154.23828702,10.902010261,-8.0684183213,-3.813644188
29036704.699,-177.10719301,140.3479761,154.18291672,10.492594101,-7.7838166386,-3.6786920265
29036705.199,-177.12161084,140.34654841,154.1265521,10.083278375,-7.4990929715,-3.5435336746
29036705.699,-177.13414682,140.3426933,154.06922645,9.6740413691,-7.214278902,-3.4082137885
29036706.199,-177.14487525,140.33650271,154.01097303,9.264862225,-6.9294048679,-3.2727752803
29036706.699,-177.15387044,140.32806857,153.95182513,8.8557209414,-6.6445001677,-3.1372593258
29036707.199,-177.1612067,140.31748283,153.89181602,8.4465983732,-6.3595929664,-3.0017053678
29036707.699,-177.16695834,140.30483742,153.83097897,8.0374762336,-6.0747102962,-2.866151121
29036708.199,-177.17119965,140.29022428,153.76934727,7.6283370928,-5.7898780644,-2.7306325762
29036708.699,-177.17400495,140.27373534,153.70695418,7.2191643799,-5.5051210518,-2.5951840017
29036709.199,-177.17544855,140.25546254,153.64383299,6.8099423828,-5.2204629182,-2.4598379483
29036709.699,-177.17560474,140.23549783,153.58001697,6.4006562467,-4.9359262018,-2.3246252475
29036710.199,-177.17454783,140.21393313,153.51553939,5.9912919769,-4.6515323234,-2.1895750163
29036710.699,-177.17235214,140.19086038,153.45043354,5.5818364355,-4.3673015832,-2.0547146556
29036711.199,-177.16909196,140.16637152,153.38473268,5.1722773438,-4.0832531665,-1.920069852
29036711.699,-177.1648416,140.1405585,153.3184701,4.7626032801,-3.7994051383,-1.7856645754
29036712.199,-177.15967538,140.11351323,153.25167906,4.3528036806,-3.5157744478,-1.6515210818
29036712.699,-177.15366759,140.08532767,153.18439285,3.9428688372,-3.232376924,-1.5176599083
29036713.199,-177.14689254,140.05609375,153.11664474,3.5327898989,-2.9492272779,-1.3840998754
29036713.699,-177.13942454,140.02590341,153.04846801,3.1225588696,-2.6663390988,-1.2508580827
29036714.199,-177.13133789,139.99484858,152.97989593,2.7121686081,-2.3837248538,-1.1179499074
29036714.699,-177.1227069,139.96302121,152.91096178,2.3016128261,-2.1013958864,-0.98538900383
29036715.199,-177.11360588,139.93051322,152.84169884,1.8908860894,-1.8193624134,-0.85318729768
29036715.699,-177.10410913,139.89741656,152.77214037,1.479983815,-1.5376335237,-0.72135498606
