time(ms), id1, x1(mm), y1, z1, id2, x2, y2, z2, id3, x3, y3, z3
28886470.688,0,2.8819,200.943,19.2719,1,45.325,175.773,43.073,2,-30.8182,165.888,43.4135
28886506.57,0,2.70141,201.016,16.5508,1,45.2132,175.788,39.7736,2,-30.9805,165.994,39.813
28886530.708,0,2.52015,200.93,14.1954,1,44.9291,175.625,37.9165,2,-31.2152,166.11,37.9517
28886554.596,0,2.11022,200.566,12.5153,1,44.5546,175.262,36.1865,2,-31.6714,165.839,36.2447
28886578.563,0,1.51619,200.294,11.7431,1,44.0049,174.796,34.6048,2,-32.2099,165.506,34.8115
28886602.562,0,0.846152,200.098,11.0815,1,43.4798,174.57,33.3105,2,-32.8353,165.318,33.5947
28886626.564,0,0.317778,199.595,9.3019,1,42.8579,174.586,32.5129,2,-33.4026,165.344,32.8362
28886650.55,0,-0.0714608,199.358,7.9566,1,42.4069,174.507,31.7884,2,-33.8412,165.323,32.2999
28886674.526,0,-0.501014,199.334,7.84595,1,42.0334,174.175,31.1423,2,-34.3593,165.209,31.6708
28886698.746,0,-0.961522,199.401,8.08727,1,41.4689,173.984,30.8047,2,-34.7666,165.268,31.4006
28886710.558,0,-1.14874,199.39,8.13948,1,41.2276,173.836,30.6497,2,-34.9119,165.104,31.2183
28886746.693,0,-1.47513,199.053,6.93066,1,40.925,173.379,29.9038,2,-35.2351,164.857,30.7891
28886770.615,0,-1.75315,198.9,6.83491,1,40.6094,173.047,29.816,2,-35.4905,164.846,30.7628
28886794.611,0,-1.9593,198.656,5.92546,1,40.4345,172.842,29.6474,2,-35.7041,164.7,30.6137
28886818.516,0,-2.19308,198.576,6.0304,1,40.2288,172.543,29.1235,2,-35.967,164.648,30.222
28886830.596,0,-2.29568,198.528,6.03231,1,40.104,172.279,29.0473,2,-36.1438,164.52,30.0188
28886854.614,0,-2.54284,198.335,6.06897,1,39.7867,172.016,28.8629,2,-36.4562,164.322,29.6202
28886866.683,0,-2.73012,198.29,5.82653,1,39.6808,171.939,28.6358,2,-36.6377,164.417,29.49
28886902.603,0,-3.15466,198.351,5.26086,1,39.2807,172.006,27.782,2,-37.0059,164.442,28.8666
28886914.689,0,-3.30213,198.455,4.8591,1,39.1518,172.031,27.5655,2,-37.1871,164.402,28.5106
28886938.813,0,-3.60368,198.724,4.66207,1,38.8755,172.238,27.1254,2,-37.4173,164.579,27.9797
28886962.654,0,-3.85923,198.896,4.04318,1,38.6377,172.471,26.5521,2,-37.6628,164.665,27.3875
28886974.645,0,-4.01384,199.042,4.06259,1,38.426,172.604,26.3418,2,-37.7586,164.699,27.1449
28886998.704,0,-4.31054,199.484,3.85487,1,38.3531,172.947,25.6423,2,-38.0212,164.911,26.6396
28887022.681,0,-4.50691,199.927,3.46873,1,38.0982,173.22,25.2454,2,-38.1718,165.242,26.3077
28887046.64,0,-4.67263,200.355,3.25293,1,37.8724,173.591,25.0036,2,-38.307,165.804,26.1261
28887070.661,0,-4.83533,200.981,2.81744,1,37.6812,174.033,24.7084,2,-38.5527,166.261,25.7443
28887094.659,0,-4.97595,201.504,2.93673,1,37.4299,174.692,24.7594,2,-38.7624,166.854,25.4824
28887118.638,0,-5.10543,202.122,2.80042,1,37.3449,175.091,24.4854,2,-38.9044,167.507,25.3529
28887142.652,0,-5.27416,202.542,2.16508,1,37.2157,175.545,24.2087,2,-39.0462,168.175,25.2296
28887166.662,0,-5.55524,203.311,2.11782,1,36.8771,176.339,23.9875,2,-39.2637,168.92,25.0964
28887178.638,0,-5.70231,203.696,1.54832,1,36.7177,176.806,23.8479,2,-39.4031,169.332,25.0114
28887202.69,0,-5.93381,204.412,1.0019,1,36.5646,177.467,23.4944,2,-39.56,169.981,24.8336
28887226.588,0,-6.10913,204.803,0.656233,1,36.3387,178.222,23.3427,2,-39.7425,170.51,24.4698
28887250.71,0,-6.28304,205.497,0.540717,1,36.2052,179.052,23.0248,2,-39.889,171.383,24.2192
28887274.677,0,-6.47128,206.28,0.0693693,1,36.016,179.583,22.528,2,-40.0808,171.971,23.7373
28887286.806,0,-6.56741,206.735,0.0947019,1,35.8518,179.984,22.4053,2,-40.1905,172.319,23.4854
28887310.776,0,-6.72905,207.515,-0.0190044,1,35.6759,180.7,22.0282,2,-40.3393,172.828,23.0344
28887334.805,0,-6.82558,208.219,-1.11224,1,35.576,181.579,21.7118,2,-40.5494,173.63,22.61
28887358.874,0,-6.95763,208.992,-1.80918,1,35.4342,182.383,21.3661,2,-40.6009,174.844,22.622
28887382.792,0,-7.08307,210.076,-2.09559,1,35.3302,183.42,21.1038,2,-40.8291,176.038,22.3393
28887406.799,0,-7.2594,211.347,-1.79182,1,35.1306,184.404,20.9007,2,-41.0693,177.472,22.138
28887418.778,0,-7.34191,212.056,-1.67329,1,35.0065,184.934,20.8139,2,-41.1876,178.074,22.0246
28887442.792,0,-7.44713,213.261,-1.55032,1,34.8592,186.169,20.753,2,-41.3209,179.32,21.9158
28887466.78,0,-7.49091,214.341,-1.2265,1,34.7692,187.303,20.8791,2,-41.3846,180.325,21.8569
28887490.777,0,-7.55759,215.171,-1.13339,1,34.6808,188.295,20.9499,2,-41.4305,181.184,21.8187
28887514.778,0,-7.62898,215.992,-0.89633,1,34.6929,189.031,20.8334,2,-41.4346,182.024,21.9227
28887538.773,0,-7.67699,216.735,-0.970291,1,34.5571,189.921,20.9397,2,-41.4545,182.877,21.9323
28887550.812,0,-7.69431,217.135,-1.19027,1,34.5191,190.231,20.8809,2,-41.4976,183.278,21.8913
28887574.759,0,-7.76969,217.46,-1.73266,1,34.4356,190.652,20.7101,2,-41.6312,184.021,21.7714
28887599.052,0,-7.90079,218.143,-1.58627,1,34.3348,191.15,20.6283,2,-41.7524,184.672,21.6961
28887622.79,0,-8.02942,218.205,-2.50521,1,34.2033,191.587,20.5118,2,-41.8822,185.027,21.5494
28887646.819,0,-8.28673,218.774,-2.06247,1,33.8876,192.348,20.4779,2,-42.1674,185.602,21.3159
28887670.79,0,-8.5587,219.138,-2.04198,1,33.6192,192.819,20.1345,2,-42.4845,186.019,20.8724
28887694.883,0,-8.86591,219.538,-2.49667,1,33.2444,193.19,19.8575,2,-42.828,186.439,20.4843
28887706.751,0,-9.04623,219.768,-2.63745,1,33.0719,193.467,19.6255,2,-42.9434,186.604,20.3746
28887730.897,0,-9.50461,220.198,-3.39592,1,32.598,194.158,19.2817,2,-43.4441,187.171,19.8708
28887754.966,0,-9.97523,220.692,-3.65665,1,32.155,194.717,18.6708,2,-43.9204,187.573,19.3028
28887779.259,0,-10.4157,220.999,-4.30435,1,31.7172,195.074,17.9611,2,-44.275,188.169,18.912
28887802.894,0,-10.7729,221.519,-5.21932,1,31.3308,195.841,17.5003,2,-44.6586,188.826,18.4042
28887826.897,0,-11.1326,222.176,-5.29619,1,31.1459,196.574,16.8901,2,-44.8807,189.271,17.8436
28887850.905,0,-11.3948,222.859,-5.48648,1,30.7952,197.265,16.5396,2,-45.1617,189.932,17.3127
28887874.864,0,-11.5074,223.428,-6.13064,1,30.5899,197.628,16.1307,2,-45.3358,190.589,16.8002
28887886.948,0,-11.5239,223.614,-6.12845,1,30.7034,198.014,15.7825,2,-45.3624,190.629,16.4821
28887910.878,0,-11.4762,224.171,-6.29639,1,30.7465,198.684,15.3981,2,-45.3323,191.327,16.1141
28887934.931,0,-11.3193,224.277,-6.95572,1,30.9446,199.123,14.885,2,-45.1492,191.871,15.8437
28887958.86,0,-11.1644,224.615,-8.36601,1,31.0751,199.467,14.481,2,-44.9766,192.185,15.4844
28887982.858,0,-11.0491,225.187,-8.64625,1,31.1026,200.014,14.2479,2,-44.8776,192.476,14.9907
