time(ms), x(mm), y, z, ax(m/s2), ay, az
28886521.688,-0.072478038637,227.02792997,111.40475487,-0.52326735863,-1.8447946703,-0.18133064306
28886522.188,-0.07729549412,227.05284191,111.35207841,-0.54216855905,-1.972133609,-0.21368296981
28886522.688,-0.08219344257,227.07734719,111.29965045,-0.56105461888,-2.0994585658,-0.24610848435
28886523.188,-0.087172838305,227.10141539,111.24748433,-0.5799259777,-2.2267697583,-0.27860482871
28886523.688,-0.09223463564,227.12501611,111.19559337,-0.59878309399,-2.3540674334,-0.31116946844
28886524.188,-0.097379788891,227.14811893,111.14399091,-0.61762644513,-2.481351867,-0.34379969368
28886524.688,-0.10260925238,227.17069345,111.09269026,-0.63645652733,-2.6086233642,-0.37649261796
28886525.188,-0.10792398041,227.19270925,111.04170476,-0.65527385575,-2.7358822595,-0.40924517962
28886525.688,-0.11332492731,227.21413593,110.99104774,-0.67407896442,-2.8631289168,-0.44205414092
28886526.188,-0.11881304739,227.23494306,110.94073253,-0.69287240624,-2.9903637293,-0.47491608885
28886526.688,-0.12438929497,227.25510025,110.89077244,-0.71165475297,-3.1175871193,-0.50782743454
28886527.188,-0.13005462437,227.27457707,110.84118082,-0.73042659538,-3.2447995399,-0.5407844143
28886527.688,-0.1358099899,227.29334313,110.79197098,-0.7491885429,-3.3720014718,-0.57378308796
28886528.188,-0.14165634587,227.311368,110.74315626,-0.76794122405,-3.499193427,-0.60681934124
28886528.688,-0.14759464661,227.32862128,110.69474999,-0.78668528612,-3.6263759464,-0.63988888417
28886529.188,-0.15362584643,227.34507255,110.64676548,-0.80542139521,-3.7535496003,-0.67298725076
28886529.688,-0.15975089965,227.36069141,110.59921608,-0.8241502364,-3.880714989,-0.70610980104
28886530.188,-0.16597076058,227.37544744,110.55211511,-0.83656448986,-3.988859309,-0.73387516797
28886530.688,-0.17228638353,227.38931024,110.50547589,-0.82052632163,-4.0112418217,-0.73737815524
28886531.188,-0.17869772747,227.40225413,110.45930987,-0.79647604427,-4.0094597706,-0.73400570509
28886531.688,-0.18520026171,227.41427486,110.41361995,-0.77243131336,-4.0076802842,-0.73059187162
28886532.188,-0.19178819035,227.42537419,110.36840663,-0.74839242593,-4.0059048302,-0.72713722607
28886532.688,-0.19845571741,227.43555391,110.32367042,-0.72435922387,-4.0041334968,-0.72364194383
28886533.188,-0.20519704691,227.44481579,110.27941182,-0.70033155015,-4.0023663677,-0.72010619476
28886533.688,-0.21200638288,227.45316159,110.23563134,-0.67630924891,-4.0006035231,-0.71653014212
28886534.188,-0.21887792933,227.46059308,110.19232948,-0.65229216529,-3.9988450375,-0.71291394321
28886534.688,-0.22580589029,227.46711205,110.14950673,-0.62828014559,-3.9970909821,-0.70925774869
28886535.188,-0.23278446978,227.47272027,110.10716362,-0.6042730373,-3.9953414235,-0.70556170393
28886535.688,-0.23980787182,227.4774195,110.06530063,-0.58027068893,-3.9935964235,-0.7018259471
28886536.188,-0.24687030042,227.48121152,110.02391827,-0.55627295017,-3.99185604,-0.69805061068
28886536.688,-0.25396595962,227.4840981,109.98301705,-0.53227967194,-3.9901203266,-0.69423582112
28886537.188,-0.26108905343,227.48608101,109.94259746,-0.50829070615,-3.9883893318,-0.69038169809
28886537.688,-0.26823378587,227.48716203,109.90266002,-0.48430590597,-3.9866631002,-0.68648835556
28886538.188,-0.27539436097,227.48734293,109.86320523,-0.46032512578,-3.9849416723,-0.68255590117
28886538.688,-0.28256498274,227.48662548,109.82423358,-0.43634822097,-3.9832250831,-0.67858443599
28886539.188,-0.28973985521,227.48501145,109.78574559,-0.41237504828,-3.9815133645,-0.67457405545
28886539.688,-0.2969131824,227.48250262,109.74774175,-0.38840546546,-3.9798065423,-0.67052484804
28886540.188,-0.30407916833,227.47910076,109.71022257,-0.36443933161,-3.9781046398,-0.66643689688
28886540.688,-0.31123201702,227.47480763,109.67318855,-0.34047650687,-3.9764076739,-0.66231027809
28886541.188,-0.31836593249,227.46962503,109.6366402,-0.31651685265,-3.9747156582,-0.65814506177
28886541.688,-0.32547511877,227.4635547,109.60057802,-0.29256023155,-3.9730286012,-0.65394131216
28886542.188,-0.33255377987,227.45659844,109.56500251,-0.26860650733,-3.9713465072,-0.64969908659
28886542.688,-0.33959611981,227.448758,109.52991418,-0.24465554495,-3.9696693756,-0.64541843661
28886543.188,-0.34659634263,227.44003517,109.49531353,-0.22070721069,-3.9679972018,-0.6410994077
28886543.688,-0.35354865233,227.43043172,109.46120106,-0.19676137179,-3.9663299755,-0.63674203803
28886544.188,-0.36044725294,227.41994941,109.42757727,-0.17281789698,-3.964667683,-0.63234636104
28886544.688,-0.36728634848,227.40859002,109.39444268,-0.14887665601,-3.9630103054,-0.62791240266
28886545.188,-0.37406014297,227.39635533,109.36179778,-0.12493751987,-3.9613578189,-0.623440183
28886545.688,-0.38076284044,227.3832471,109.32964308,-0.10100036087,-3.9597101957,-0.61892971619
28886546.188,-0.3873886449,227.36926711,109.29797908,-0.077065052377,-3.9580674024,-0.61438100932
28886546.688,-0.39393176038,227.35441713,109.26680628,-0.053131469099,-3.9564294019,-0.60979406403
28886547.188,-0.4003863909,227.33869893,109.23612519,-0.029199486942,-3.9547961517,-0.60516887532
28886547.688,-0.40674674047,227.32211429,109.20593631,-0.0052689829365,-3.9531676046,-0.60050543145
28886548.188,-0.41300701312,227.30466498,109.17624014,0.018660164525,-3.9515437087,-0.59580371544
28886548.688,-0.41916141287,227.28635276,109.14703719,0.042588075939,-3.9499244076,-0.59106370279
28886549.188,-0.42520414375,227.26717942,109.11832796,0.066514870508,-3.9483096395,-0.58628536387
28886549.688,-0.43112940976,227.24714673,109.09011295,0.090440666286,-3.9466993381,-0.58146866163
28886550.188,-0.43693141494,227.22625645,109.06239268,0.11436558,-3.9450934324,-0.57661355361
28886550.688,-0.44260436331,227.20451036,109.03516763,0.13828972725,-3.943491846,-0.57171999072
28886551.188,-0.44814245888,227.18191023,109.00843832,0.16221322235,-3.9418944981,-0.56678791734
28886551.688,-0.45353990569,227.15845784,108.98220524,0.18613617843,-3.9403013026,-0.56181727165
